iHyCase,Name,MFile,LFile,Descr,SZA,OZA,SAA,OAA,WSS,WHH,chl,admix,dsize,cnap,cdom,cy,fqy
1,M30.62_0.0_22_2.879_11.464_40_aer_0.005,M30.62_0.0_22_2.879_11.464_40_aer_0.005.txt,L30.62_0.0_22_2.879_11.464_40_aer_0.005.txt,,40,35,40,90,5,5,30.62,0,22,2.879,11.464,aer,0.005
2,M8.63_0.0_8_0.082_1.671_30_nan_0.01,M8.63_0.0_8_0.082_1.671_30_nan_0.01.txt,L8.63_0.0_8_0.082_1.671_30_nan_0.01.txt,,30,10,30,90,5,5,8.63,0,8,0.082,1.671,nan,0.01
