Species,Class,ESD,Size,0.4,0.405,0.41,0.415,0.42,0.425,0.43,0.435,0.44,0.445,0.45,0.455,0.46,0.465,0.47,0.475,0.48,0.485,0.49,0.495,0.5,0.505,0.51,0.515,0.52,0.525,0.53,0.535,0.54,0.545,0.55,0.555,0.56,0.565,0.57,0.575,0.58,0.585,0.59,0.595,0.6,0.605,0.61,0.615,0.62,0.625,0.63,0.635,0.64,0.645,0.65,0.655,0.66,0.665,0.67,0.675,0.68,0.685,0.69,0.695,0.7,0.705,0.71,0.715,0.72,0.725,0.73,0.735,0.74,0.745,0.75,0.755,0.76,0.765,0.77,0.775,0.78,0.785,0.79,0.795,0.8,0.805,0.81,0.815,0.82,0.825,0.83,0.835,0.84,0.845,0.85,0.855,0.86,0.865,0.87,0.875,0.88,0.885,0.89,0.895,0.9
F. pinnata,Fragilariophyceae,3.6,6,0.025937197,0.025995274,0.026505588,0.027239007,0.027385628,0.027410064,0.027920379,0.028470364,0.027804225,0.02587912,0.02372488,0.022319293,0.021512564,0.020054929,0.018640139,0.017414812,0.016855623,0.016675363,0.018352293,0.016024458,0.015153622,0.013754064,0.01239735,0.011532544,0.010652505,0.009729622,0.009039047,0.008470655,0.007755643,0.00679309,0.005946691,0.00548525,0.004892421,0.004669317,0.004012382,0.003691531,0.00337068,0.003346244,0.003132343,0.002909239,0.002835929,0.00319645,0.003517301,0.003969539,0.004192643,0.004479854,0.00439734,0.004372903,0.003945102,0.003566174,0.003737231,0.005307846,0.008171067,0.012299286,0.015367205,0.0159448,0.014554446,0.011782941,0.00789306,0.004067286,0.002059666,0.001210094,0.000699779,0.000510315,0.000378928,0.000271978,0.000161854,0.000213901,0.000161854,0.000161854,0.000161854,0.000161854,0.000161854,0.000161854,0.000161854,0.000161854,0.000161854,0.000161854,0.000161854,0.000161854,0.000161854,0.000161854,0.000161854,0.000161854,0.000161854,0.000161854,0.000161854,0.000161854,0.000161854,0.000161854,0.000161854,0.000161854,0.000161854,0.000161854,0.000161854,0.000161854,0.000161854,0.000161854,0.000161854,0.000161854,0.000161854
P. calceolata,Pelagiophyceae,1.9,2,0.024898023,0.027764346,0.030542047,0.032357554,0.033841358,0.03540872,0.038173761,0.040589373,0.040596969,0.039348649,0.03860928,0.03862194,0.039113165,0.039247366,0.038738416,0.038069945,0.036241777,0.034152805,0.03160046,0.027437707,0.023193927,0.021001139,0.018808351,0.016959926,0.01556981,0.013734046,0.012267967,0.011260196,0.009449753,0.008626824,0.00742155,0.005712391,0.003679124,0.003008121,0.002924562,0.004496989,0.005547805,0.00633022,0.006788528,0.006469485,0.005940279,0.005474375,0.005390816,0.005071773,0.005383219,0.005669345,0.006509999,0.007350652,0.007770978,0.006661924,0.006469485,0.006869555,0.009551036,0.014870954,0.019836378,0.021603776,0.017056146,0.010665155,0.005464246,0.002200385,0.000319043,0.000534271,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869,0.000265869
H. virescens,Cryptophyceae,3,4,0.034396919,0.036242025,0.038587279,0.040554732,0.041534552,0.042202863,0.043552677,0.044588552,0.0435853,0.041009925,0.038531561,0.037237277,0.036838996,0.036331036,0.034212425,0.031070608,0.029053865,0.028221727,0.031977896,0.030280809,0.027899455,0.025362084,0.021855132,0.018475908,0.015734801,0.013634239,0.012998551,0.012863013,0.012571981,0.013669291,0.01446533,0.014934762,0.015187266,0.016963126,0.016281623,0.017971235,0.018358231,0.01777912,0.016822206,0.017444703,0.017867797,0.017827363,0.018248028,0.018607782,0.018739844,0.018033006,0.016759201,0.015028632,0.012795484,0.010773884,0.009742867,0.009360206,0.011182404,0.014254977,0.017108191,0.018435098,0.018258603,0.015302996,0.009818352,0.005362297,0.003721452,0.003149628,0.00192459,0.001738379,0.001579933,0.001191891,0.000911099,0.000962295,0.000931577,0.00031151,0.00031151,0.00031151,0.00031151,0.00031151,0.00031151,0.00031151,0.00031151,0.00031151,0.00031151,0.00031151,0.00031151,0.00031151,0.00031151,0.00031151,0.00031151,0.00031151,0.00031151,0.00031151,0.00031151,0.00031151,0.00031151,0.00031151,0.00031151,0.00031151,0.00031151,0.00031151,0.00031151,0.00031151,0.00031151,0.00031151,0.00031151
A. tamarense1,Dinophyceae,31,32,0.017511334,0.017668746,0.018028823,0.018532959,0.018899821,0.019075783,0.019305224,0.019588073,0.019633399,0.019511282,0.019292018,0.01917488,0.019169828,0.019044391,0.018572156,0.017875532,0.017169021,0.016762177,0.016640423,0.016482502,0.015981977,0.01529719,0.014583967,0.01384043,0.013277906,0.012799105,0.012373856,0.011945288,0.011309002,0.010635907,0.009845602,0.008685334,0.007511713,0.006540613,0.005927929,0.005675176,0.005618158,0.005596289,0.005535951,0.005341803,0.004955096,0.004876572,0.005047481,0.005497919,0.005827681,0.006090539,0.006400455,0.006698534,0.006624699,0.006809178,0.006702072,0.006996686,0.008840153,0.011569413,0.013997347,0.01521622,0.014230035,0.011172601,0.00716081,0.003602704,0.00178096,0.000960705,0.000521958,0.000277432,7.64E-05,0.000116774,5.16E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05
A. carterae,Dinophyceae,9,9,0.012819233,0.013374614,0.014033623,0.014587889,0.015042849,0.015617199,0.01623604,0.016756134,0.016845118,0.016691558,0.016681795,0.016880126,0.017038567,0.016850557,0.016151938,0.014849679,0.013631523,0.012987716,0.013129699,0.012378638,0.011566627,0.010620861,0.009670214,0.008927381,0.008367676,0.007942005,0.007546181,0.007135154,0.006694002,0.006273212,0.005758278,0.005089784,0.004455741,0.004009706,0.00371779,0.003525735,0.003594914,0.003609559,0.003644287,0.003461159,0.003203692,0.003035488,0.003090301,0.003224334,0.003432428,0.003487799,0.003656561,0.003844291,0.003923233,0.004022259,0.004077072,0.00423091,0.005340557,0.007563894,0.009535204,0.010104114,0.008326253,0.005464548,0.003048041,0.001527926,0.0009685,0.000582718,0.000439479,0.000345614,0.00025663,0.000192054,0.00017741,0.000118273,0.000128036,5.89E-05,5.89E-05,5.89E-05,5.89E-05,5.89E-05,5.89E-05,5.89E-05,5.89E-05,5.89E-05,5.89E-05,5.89E-05,5.89E-05,5.89E-05,5.89E-05,5.89E-05,5.89E-05,5.89E-05,5.89E-05,5.89E-05,5.89E-05,5.89E-05,5.89E-05,5.89E-05,5.89E-05,5.89E-05,5.89E-05,5.89E-05,5.89E-05,5.89E-05,5.89E-05,5.89E-05,5.89E-05
P. capsulatus,Prasinophyceae,2.2,3,0.101845708,0.110570085,0.122315757,0.13360867,0.141812587,0.152064754,0.165077639,0.176868306,0.177105658,0.170519729,0.162055582,0.156590059,0.158717622,0.16382093,0.167419121,0.165121699,0.156295338,0.14321458,0.129354098,0.108113484,0.093052349,0.08034507,0.070670526,0.061957588,0.054976062,0.048209216,0.042031051,0.03684881,0.032119155,0.028102316,0.025024586,0.021030244,0.018846801,0.017749273,0.018484967,0.019661982,0.020974744,0.022219633,0.024562256,0.02467568,0.024811601,0.023555654,0.0233408,0.024133102,0.025547849,0.026962422,0.030493119,0.038697036,0.049469663,0.059461426,0.063082114,0.058012742,0.056983088,0.06877431,0.082103859,0.08985481,0.081876806,0.05144893,0.02457463,0.009740342,0.004750457,0.001695779,0.000835983,0.000134606,0.000134606,0.000134606,0.000134606,0.000134606,0.000134606,0.000134606,0.000134606,0.000134606,0.000134606,0.000134606,0.000134606,0.000134606,0.000134606,0.000134606,0.000134606,0.000134606,0.000134606,0.000134606,0.000134606,0.000134606,0.000134606,0.000134606,0.000134606,0.000134606,0.000134606,0.000134606,0.000134606,0.000134606,0.000134606,0.000134606,0.000134606,0.000134606,0.000134606,0.000134606,0.000134606,0.000134606,0.000134606
T. weissflogii,Coscinodiscophyceae,13,20,0.016682821,0.017592184,0.018592218,0.019383257,0.019874632,0.020258053,0.020860839,0.021672618,0.02136604,0.020174296,0.01918809,0.017790808,0.017386647,0.016588694,0.015588661,0.014396917,0.013996212,0.014086883,0.014288166,0.013996212,0.013205173,0.012208596,0.011400274,0.010295743,0.009689501,0.008992589,0.008487387,0.007891515,0.007191146,0.00627487,0.005564131,0.005267923,0.005267923,0.004971716,0.004588294,0.003665105,0.003654735,0.003950943,0.003954399,0.004069266,0.003874099,0.003982052,0.004274803,0.004881045,0.00518071,0.005278293,0.005362051,0.005365507,0.005069299,0.004978629,0.005079669,0.005982119,0.008800878,0.012100643,0.014679298,0.015463424,0.014132617,0.011812146,0.008094394,0.004376641,0.002481072,0.001474125,0.001069964,0.000568219,0.000379965,0.000282381,0.000292751,0.000195167,0.000104497,6.91E-06,6.91E-06,6.91E-06,6.91E-06,6.91E-06,6.91E-06,6.91E-06,6.91E-06,6.91E-06,6.91E-06,6.91E-06,6.91E-06,6.91E-06,6.91E-06,6.91E-06,6.91E-06,6.91E-06,6.91E-06,6.91E-06,6.91E-06,6.91E-06,6.91E-06,6.91E-06,6.91E-06,6.91E-06,6.91E-06,6.91E-06,6.91E-06,6.91E-06,6.91E-06,6.91E-06,6.91E-06
R. lens,Cryptophyceae,7,7,0.023163097,0.023994649,0.024864741,0.025743341,0.026018846,0.026480737,0.027210021,0.027838964,0.027699693,0.026515257,0.025374821,0.024912813,0.025008911,0.024922425,0.024097848,0.022522154,0.02084167,0.01989472,0.019548266,0.020751637,0.019654669,0.018749405,0.017359364,0.016124627,0.015487583,0.015636575,0.015968766,0.016545045,0.017068412,0.017497394,0.017541304,0.017056702,0.016476838,0.016092453,0.015690993,0.015185325,0.013987176,0.012053579,0.01019197,0.00856292,0.007385836,0.006973992,0.006829402,0.007282307,0.007745879,0.008078988,0.008345232,0.008550982,0.008548681,0.008138997,0.007677876,0.00840999,0.011043482,0.01423305,0.016310532,0.017413877,0.017262565,0.01469512,0.010493502,0.006092065,0.003605743,0.002324885,0.00163221,0.000973321,0.000795319,0.000709385,0.000555619,0.000360479,0.000300866,0.000227929,0.000227929,0.000227929,0.000227929,0.000227929,0.000227929,0.000227929,0.000227929,0.000227929,0.000227929,0.000227929,0.000227929,0.000227929,0.000227929,0.000227929,0.000227929,0.000227929,0.000227929,0.000227929,0.000227929,0.000227929,0.000227929,0.000227929,0.000227929,0.000227929,0.000227929,0.000227929,0.000227929,0.000227929,0.000227929,0.000227929,0.000227929
P. subviridis,Pelagophyceae,2.6,3,0.046970093,0.050373702,0.053524092,0.056900116,0.058682555,0.060879482,0.064292286,0.067387505,0.067097505,0.063776652,0.061786969,0.06155214,0.060939603,0.059571652,0.056844945,0.053837433,0.050921873,0.047591824,0.041807386,0.041815874,0.034055192,0.030430192,0.026353924,0.022936168,0.019200827,0.016593657,0.013816023,0.011503804,0.009688828,0.00901617,0.008154658,0.005386219,0.002608585,0.001332585,0.00192178,0.005422292,0.007817267,0.008162438,0.007457243,0.006296536,0.005812731,0.005411682,0.00504317,0.005964097,0.00642456,0.007083072,0.00776917,0.00886056,0.009104584,0.008404341,0.007473511,0.008053511,0.011530682,0.018904461,0.026048363,0.029959119,0.026362412,0.016280315,0.007579609,0.002093658,0.000495122,0.000120244,0.000120244,0.000120244,0.000120244,0.000120244,0.000120244,0.000120244,0.000120244,0.000133683,0.000120244,0.000120244,0.000120244,0.000120244,0.000120244,0.000120244,0.000120244,0.000120244,0.000120244,0.000120244,0.000120244,0.000120244,0.000120244,0.000120244,0.000120244,0.000120244,0.000120244,0.000120244,0.000120244,0.000120244,0.000120244,0.000120244,0.000120244,0.000120244,0.000120244,0.000120244,0.000120244,0.000120244,0.000120244,0.000120244,0.000120244
H. triquetra,Dinophyceae,13,18,0.020011904,0.02047195,0.021075712,0.021527963,0.0217808,0.022046467,0.022519343,0.023050677,0.02307406,0.022663538,0.022259432,0.022268605,0.02230368,0.021988968,0.021101673,0.019507011,0.017767255,0.016729588,0.016070787,0.015936964,0.015288056,0.014299673,0.013282872,0.012291732,0.011593539,0.010998951,0.010567564,0.010114174,0.009462507,0.0089211,0.008208698,0.007349821,0.006551921,0.005877111,0.005592198,0.005251346,0.00521765,0.005332946,0.005508079,0.005354051,0.004907076,0.004698487,0.004842203,0.005271071,0.00561696,0.005872315,0.006075627,0.006354125,0.006373611,0.006488907,0.006575784,0.006997997,0.008965828,0.012249822,0.015002723,0.016087155,0.014320119,0.010885993,0.006968678,0.003623708,0.001948585,0.001186898,0.000860495,0.000590931,0.00039907,0.00038486,0.000246181,7.24E-05,0.000123091,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05
